company_id,company_name,ald_sector,ald_business_unit,ald_location,activity_unit,Equity Ownership 2022,Equity Ownership 2023,Equity Ownership 2024,Equity Ownership 2025,Equity Ownership 2026
24,company-24,Shipping,Passenger,NA,tCO2,17658,NA,NA,11756,156090
25,company-25,Shipping,Freight,BO,tCO2,28761,306894,84799,73459,2930
25,company-25,Shipping,Freight,FR,tCO2,274,195983,34795,NA,55732
25,company-25,Shipping,Freight,KZ,tCO2,NA,NA,24854,50865,68736
25,company-25,Shipping,Freight,NL,tCO2,3824,251546,98881,184767,24001
26,company-26,Automotive,Electric,BN,tCO2,38609,123518,62231,212538,NA
26,company-26,Automotive,Electric,NA,tCO2,34522,60324,NA,164128,188793
26,company-26,Automotive,Electric,BO,tCO2,61946,57790,91219,2798,88143
26,company-26,Automotive,Electric,FR,tCO2,224591,115442,24354,92905,114562
26,company-26,Automotive,Electric,KZ,tCO2,NA,285329,7582,32293,80923
27,company-27,Power,RenewablesCap,KZ,tCO2e,NA,117994,192031,NA,8459
28,company-28,Power,RenewablesCap,KZ,tCO2e,30814,107529,104315,30743,70689
28,company-28,Power,RenewablesCap,NL,tCO2e,NA,NA,52734,57716,65919
28,company-28,Power,RenewablesCap,NA,tCO2e,17750,93299,82911,15000,27375
28,company-28,Power,RenewablesCap,BN,tCO2e,357172,NA,NA,73405,53957
29,company-29,Automotive,Electric,BN,tCO2,73803,158972,25195,3727,95180
29,company-29,Automotive,Electric,BO,tCO2,25187,15822,NA,235385,240996
29,company-29,Automotive,Electric,NA,tCO2,35858,NA,252210,NA,29317
29,company-29,Automotive,Electric,NL,tCO2,20317,NA,NA,NA,NA
30,company-30,Oil&Gas,Oil,BO,tCO2e,15472,NA,NA,NA,87092
31,company-31,Cement,Integrated facility,FR,tCO2e,29063,94454,NA,264720,104860
31,company-31,Cement,Integrated facility,NA,tCO2e,328681,123914,NA,11227,360254
31,company-31,Cement,Integrated facility,KZ,tCO2e,151090,336,55940,175808,252784
31,company-31,Cement,Integrated facility,NL,tCO2e,81149,118113,17388,55385,NA
31,company-31,Cement,Integrated facility,BN,tCO2e,215416,38113,66484,56178,6765
32,company-32,Power,CoalCap,NA,tCO2e,96659,222249,25692,532842,22793
32,company-32,Power,CoalCap,KZ,tCO2e,24554,7326,10792,224788,50316
32,company-32,Power,CoalCap,BN,tCO2e,77763,268920,81825,195633,55673
33,company-33,Power,OilCap,NA,tCO2e,NA,20941,101638,57798,9803
33,company-33,Power,OilCap,KZ,tCO2e,65602,147726,120568,55007,1037
33,company-33,Power,OilCap,BN,tCO2e,70794,84044,NA,9027,NA
34,company-34,Power,NuclearCap,BN,tCO2e,16981,2083,83406,14090,141188
35,company-35,Power,RenewablesCap,NL,tCO2e,579,NA,40112,NA,131841
35,company-35,Power,RenewablesCap,NA,tCO2e,3727,191511,302171,NA,238523
36,company-36,Automotive,FuelCell,BO,tCO2,2636,NA,12514,83025,64196
36,company-36,Automotive,FuelCell,BN,tCO2,107385,NA,NA,NA,NA
36,company-36,Automotive,FuelCell,FR,tCO2,42685,54921,56598,NA,NA
36,company-36,Automotive,FuelCell,NL,tCO2,NA,31726,83105,124203,181314
37,company-37,Power,NuclearCap,FR,tCO2e,413790,36168,27798,NA,NA
37,company-37,Power,NuclearCap,NA,tCO2e,242992,30382,93326,302324,53208
37,company-37,Power,NuclearCap,BN,tCO2e,31880,NA,29672,24982,NA
37,company-37,Power,NuclearCap,BO,tCO2e,54297,30782,NA,159874,26961
37,company-37,Power,NuclearCap,KZ,tCO2e,73021,21942,160373,113242,46744
38,company-38,Power,CoalCap,FR,tCO2e,NA,72275,NA,124899,NA
38,company-38,Power,CoalCap,NA,tCO2e,40568,73055,NA,65130,868
38,company-38,Power,CoalCap,BN,tCO2e,294761,206857,332237,10463,NA
38,company-38,Power,CoalCap,NL,tCO2e,169567,64303,189292,102692,17795
38,company-38,Power,CoalCap,KZ,tCO2e,983,48139,15463,NA,37307
39,company-39,Power,OilCap,BO,tCO2e,NA,730,NA,8650,707
39,company-39,Power,OilCap,KZ,tCO2e,129581,NA,80387,42175,56274
40,company-40,Power,HydroCap,KZ,tCO2e,247297,4095,152567,62369,NA
40,company-40,Power,HydroCap,BO,tCO2e,109033,17209,NA,40348,402752
40,company-40,Power,HydroCap,FR,tCO2e,79705,222991,66412,187570,161567
41,company-41,Power,NuclearCap,NA,tCO2e,78366,40773,4794,175064,43179
41,company-41,Power,NuclearCap,FR,tCO2e,NA,68153,NA,563953,156323
41,company-41,Power,NuclearCap,KZ,tCO2e,NA,30443,NA,53155,33335
41,company-41,Power,NuclearCap,BN,tCO2e,34963,244650,39880,240007,59084
41,company-41,Power,NuclearCap,BO,tCO2e,208082,290105,40346,2662,114230
42,company-42,Automotive,Hybrid,FR,tCO2,NA,75136,NA,91033,12842
43,company-43,Power,GasCap,BN,tCO2e,NA,NA,15047,167161,154870
44,company-44,Shipping,Freight,KZ,tCO2,1964,106281,27596,NA,NA
45,company-45,Steel,Open Hearth Furnace,BN,tCO2e,60664,56294,174497,5448,83731
45,company-45,Steel,Open Hearth Furnace,KZ,tCO2e,NA,NA,80967,NA,NA
45,company-45,Steel,Open Hearth Furnace,NA,tCO2e,115660,219730,12850,110860,338186
45,company-45,Steel,Open Hearth Furnace,BO,tCO2e,130377,NA,272198,14168,242947
45,company-45,Steel,Open Hearth Furnace,FR,tCO2e,277785,50301,50225,155226,290756
46,company-46,Aviation,Freight,BO,tCO2,NA,NA,142294,NA,NA
46,company-46,Aviation,Freight,KZ,tCO2,152065,27575,65238,310846,90898
46,company-46,Aviation,Freight,BN,tCO2,209469,8485,127982,201825,33771
46,company-46,Aviation,Freight,FR,tCO2,NA,113039,108853,38950,NA
47,company-47,Automotive,Electric,NL,tCO2,35944,344819,149355,280494,12697
47,company-47,Automotive,Electric,BN,tCO2,227397,91492,NA,51685,335704
48,company-48,Aviation,Freight,FR,tCO2,410375,136595,16985,NA,26862
48,company-48,Aviation,Freight,NL,tCO2,105501,NA,5437,155272,92782
48,company-48,Aviation,Freight,BO,tCO2,69181,64,33560,104472,81211
48,company-48,Aviation,Freight,KZ,tCO2,4774,146065,32909,NA,NA
48,company-48,Aviation,Freight,BN,tCO2,21016,1552,37521,169091,123799
49,company-49,Steel,Electric Arc Furnace,BN,tCO2e,60288,60665,66542,254424,187306
49,company-49,Steel,Electric Arc Furnace,NL,tCO2e,15817,197648,146133,NA,NA
49,company-49,Steel,Electric Arc Furnace,NA,tCO2e,24824,NA,90629,92000,166005
50,company-50,Cement,Integrated facility,FR,tCO2e,NA,198532,NA,71386,203063
50,company-50,Cement,Integrated facility,NL,tCO2e,193085,13929,136227,269696,36496
50,company-50,Cement,Integrated facility,KZ,tCO2e,109304,88250,NA,16681,356951
51,company-51,Automotive,ICE,NL,tCO2,372328,216836,52227,3646,NA
51,company-51,Automotive,ICE,BO,tCO2,218934,93352,124203,335808,119184
51,company-51,Automotive,ICE,NA,tCO2,NA,350045,60214,86577,77481
51,company-51,Automotive,ICE,BN,tCO2,40911,23190,28958,11876,NA
51,company-51,Automotive,ICE,FR,tCO2,163009,146758,161839,47252,27104
52,company-52,Oil&Gas,Gas,NA,tCO2e,83620,15904,173041,NA,222735
53,company-53,Power,CoalCap,BO,tCO2e,232829,53320,79825,47545,256133
53,company-53,Power,CoalCap,BN,tCO2e,76837,NA,93878,133809,39733
53,company-53,Power,CoalCap,NA,tCO2e,28020,44090,4908,165462,18540
53,company-53,Power,CoalCap,NL,tCO2e,139035,300332,50915,231655,NA
53,company-53,Power,CoalCap,FR,tCO2e,265808,7922,24882,169960,NA
54,company-54,Steel,Open Hearth Furnace,FR,tCO2e,NA,32346,68321,294082,50527
54,company-54,Steel,Open Hearth Furnace,NA,tCO2e,2001,15110,4315,NA,160777
54,company-54,Steel,Open Hearth Furnace,BN,tCO2e,NA,107052,NA,NA,15834
54,company-54,Steel,Open Hearth Furnace,KZ,tCO2e,15516,120514,17183,NA,6808
54,company-54,Steel,Open Hearth Furnace,NL,tCO2e,5171,NA,NA,266114,59909
55,company-55,Power,RenewablesCap,BO,tCO2e,29850,NA,78486,125483,9925
55,company-55,Power,RenewablesCap,FR,tCO2e,12975,108570,228249,41860,28433
55,company-55,Power,RenewablesCap,NL,tCO2e,87910,61155,78724,142554,NA
56,company-56,Power,RenewablesCap,NL,tCO2e,48547,NA,NA,NA,118951
56,company-56,Power,RenewablesCap,KZ,tCO2e,NA,8538,13124,1364,638
56,company-56,Power,RenewablesCap,NA,tCO2e,25215,66127,12639,26120,140213
56,company-56,Power,RenewablesCap,BO,tCO2e,182551,58131,49738,NA,5536
57,company-57,Oil&Gas,Oil,BN,tCO2e,326487,40504,NA,NA,71169
58,company-58,Steel,Electric Arc Furnace,KZ,tCO2e,81542,142614,69461,164328,132267
58,company-58,Steel,Electric Arc Furnace,BO,tCO2e,NA,143338,70687,34043,NA
58,company-58,Steel,Electric Arc Furnace,NA,tCO2e,33813,66657,912,56772,7409
58,company-58,Steel,Electric Arc Furnace,NL,tCO2e,27594,134497,12405,116607,125813
58,company-58,Steel,Electric Arc Furnace,FR,tCO2e,21119,100187,292908,15715,NA
59,company-59,Power,RenewablesCap,KZ,tCO2e,4903,NA,NA,29581,75730
59,company-59,Power,RenewablesCap,NA,tCO2e,NA,77516,10699,72446,98880
59,company-59,Power,RenewablesCap,NL,tCO2e,195246,NA,NA,74783,281936
59,company-59,Power,RenewablesCap,BN,tCO2e,NA,717722,90933,14493,22001
60,company-60,Oil&Gas,Gas,BN,tCO2e,51986,82316,71514,91560,4330
60,company-60,Oil&Gas,Gas,KZ,tCO2e,269464,NA,39176,102309,51837
60,company-60,Oil&Gas,Gas,NL,tCO2e,85878,NA,65031,89610,NA
60,company-60,Oil&Gas,Gas,BO,tCO2e,NA,NA,4756,63426,108867
61,company-61,Power,HydroCap,BO,tCO2e,42291,NA,5150,44454,168635
62,company-62,Automotive,Electric,NA,tCO2,120029,28443,23119,12703,29174
62,company-62,Automotive,Electric,BO,tCO2,32103,164258,90584,43558,181032
62,company-62,Automotive,Electric,FR,tCO2,81496,115089,231243,102816,8030
63,company-63,Oil&Gas,Gas,NA,tCO2e,25870,173862,21198,NA,105773
63,company-63,Oil&Gas,Gas,NL,tCO2e,NA,165479,192770,161717,152022
63,company-63,Oil&Gas,Gas,KZ,tCO2e,180048,74718,43564,40727,32636
63,company-63,Oil&Gas,Gas,FR,tCO2e,NA,NA,27567,262470,NA
63,company-63,Oil&Gas,Gas,BO,tCO2e,90236,225243,82875,NA,233129
64,company-64,Steel,Electric Arc Furnace,KZ,tCO2e,282751,26345,124905,50688,258182
65,company-65,Aviation,Freight,BO,tCO2,269015,38349,NA,195940,6265
65,company-65,Aviation,Freight,NA,tCO2,7657,248845,63414,NA,28174
65,company-65,Aviation,Freight,NL,tCO2,74005,89767,47668,14180,15465
66,company-66,Steel,Electric Arc Furnace,FR,tCO2e,220368,17373,70445,168279,191251
66,company-66,Steel,Electric Arc Furnace,NA,tCO2e,167,30008,199740,8281,210962
66,company-66,Steel,Electric Arc Furnace,KZ,tCO2e,165996,282594,89399,256751,137039
66,company-66,Steel,Electric Arc Furnace,NL,tCO2e,374122,NA,203164,41888,29927
67,company-67,Power,NuclearCap,BN,tCO2e,NA,24262,78505,254044,74498
67,company-67,Power,NuclearCap,KZ,tCO2e,3525,164883,102854,248968,NA
67,company-67,Power,NuclearCap,NL,tCO2e,5564,46801,195669,NA,140669
67,company-67,Power,NuclearCap,BO,tCO2e,60833,270307,60392,136819,NA
68,company-68,Power,GasCap,NA,tCO2e,27137,300756,NA,139372,89919
68,company-68,Power,GasCap,BN,tCO2e,39066,64418,72135,119103,NA
68,company-68,Power,GasCap,KZ,tCO2e,NA,NA,76769,73123,22134
69,company-69,Power,GasCap,BN,tCO2e,532964,151908,64340,28455,126108
69,company-69,Power,GasCap,FR,tCO2e,51949,3415,399319,59360,251532
69,company-69,Power,GasCap,NA,tCO2e,20434,140689,251688,34631,5730
70,company-70,Automotive,Hybrid,BN,tCO2,NA,115742,NA,189268,151070
70,company-70,Automotive,Hybrid,KZ,tCO2,97997,74345,55707,183411,NA
70,company-70,Automotive,Hybrid,FR,tCO2,15194,NA,23176,18355,38475
70,company-70,Automotive,Hybrid,BO,tCO2,277566,223468,146807,27415,115394
70,company-70,Automotive,Hybrid,NL,tCO2,NA,19325,52954,24875,NA
71,company-71,Oil&Gas,Oil,NL,tCO2e,NA,91566,315535,56030,NA
71,company-71,Oil&Gas,Oil,BN,tCO2e,NA,NA,41449,NA,7667
71,company-71,Oil&Gas,Oil,BO,tCO2e,199698,55625,112391,NA,91744
71,company-71,Oil&Gas,Oil,KZ,tCO2e,103605,10241,NA,126598,92854
72,company-72,Shipping,Passenger,NL,tCO2,124851,243569,41767,117179,107848
72,company-72,Shipping,Passenger,BN,tCO2,80034,219239,98703,494100,78953
72,company-72,Shipping,Passenger,KZ,tCO2,30955,93267,NA,44443,109041
72,company-72,Shipping,Passenger,FR,tCO2,42649,333910,73999,229102,NA
73,company-73,Power,RenewablesCap,NL,tCO2e,129786,NA,27634,220534,NA
73,company-73,Power,RenewablesCap,KZ,tCO2e,65708,NA,73909,164789,98252
73,company-73,Power,RenewablesCap,BO,tCO2e,39344,155441,18784,1182,NA
73,company-73,Power,RenewablesCap,BN,tCO2e,152702,NA,38154,103930,31748
73,company-73,Power,RenewablesCap,FR,tCO2e,11338,88620,322,73442,NA
74,company-74,Power,CoalCap,NL,tCO2e,97716,NA,115438,66458,NA
74,company-74,Power,CoalCap,BN,tCO2e,65271,195081,173724,NA,NA
75,company-75,Power,HydroCap,FR,tCO2e,3154,1835,89713,78688,349416
75,company-75,Power,HydroCap,KZ,tCO2e,65267,NA,NA,NA,12388
76,company-76,Power,NuclearCap,NL,tCO2e,21373,NA,219430,107244,92912
76,company-76,Power,NuclearCap,BO,tCO2e,160719,284613,59718,63584,254981
77,company-77,Coal,Coal,NL,tCO2e,94218,114007,NA,23102,NA
77,company-77,Coal,Coal,NA,tCO2e,282450,252910,3323,348980,258884
78,company-78,Power,NuclearCap,NL,tCO2e,11526,88359,68262,NA,89345
78,company-78,Power,NuclearCap,BN,tCO2e,115103,367294,6991,190339,NA
78,company-78,Power,NuclearCap,NA,tCO2e,29420,NA,33088,288882,108430
78,company-78,Power,NuclearCap,FR,tCO2e,36693,58867,62430,9632,67640
78,company-78,Power,NuclearCap,BO,tCO2e,497541,29431,203604,86603,236443
79,company-79,Power,GasCap,NL,tCO2e,NA,NA,NA,185322,43052
80,company-80,Cement,Integrated facility,NL,tCO2e,249588,NA,159366,99934,129143
80,company-80,Cement,Integrated facility,BN,tCO2e,48313,1667,184036,NA,111921
81,company-81,Cement,Integrated facility,BO,tCO2e,10097,31417,228765,77017,NA
81,company-81,Cement,Integrated facility,NA,tCO2e,249209,145877,NA,9454,56915
82,company-82,Steel,Electric Arc Furnace,KZ,tCO2e,229217,109880,NA,NA,116310
82,company-82,Steel,Electric Arc Furnace,NA,tCO2e,267748,40981,123694,37145,35915
82,company-82,Steel,Electric Arc Furnace,FR,tCO2e,NA,187900,NA,37345,NA
82,company-82,Steel,Electric Arc Furnace,BO,tCO2e,427082,208731,19347,NA,82670
83,company-83,Automotive,Electric,KZ,tCO2,83283,61996,368022,NA,15462
83,company-83,Automotive,Electric,FR,tCO2,199836,67971,NA,19942,192825
83,company-83,Automotive,Electric,BO,tCO2,20957,NA,35357,67233,NA
83,company-83,Automotive,Electric,BN,tCO2,1074,27089,NA,33323,203770
84,company-84,Power,OilCap,NL,tCO2e,63787,7602,NA,84776,111801
84,company-84,Power,OilCap,KZ,tCO2e,NA,8981,NA,NA,149351
84,company-84,Power,OilCap,FR,tCO2e,157646,56188,112109,44630,31262
85,company-85,Automotive,FuelCell,KZ,tCO2,16025,48219,NA,26931,120355
85,company-85,Automotive,FuelCell,NA,tCO2,36232,NA,67503,NA,NA
86,company-86,Power,GasCap,BO,tCO2e,63094,36977,NA,238089,264029
86,company-86,Power,GasCap,NL,tCO2e,NA,8706,72285,NA,NA
86,company-86,Power,GasCap,BN,tCO2e,261968,106862,60561,57550,78554
86,company-86,Power,GasCap,NA,tCO2e,NA,NA,NA,240408,21818
86,company-86,Power,GasCap,FR,tCO2e,NA,139952,NA,26602,66995
87,company-87,Aviation,Freight,BO,tCO2,NA,92751,1391,55902,378143
88,company-88,Automotive,Hybrid,NL,tCO2,192365,NA,74742,NA,216549
88,company-88,Automotive,Hybrid,KZ,tCO2,155270,94998,161568,48338,NA
89,company-89,Aviation,Passenger,NA,tCO2,NA,NA,34027,NA,37468
89,company-89,Aviation,Passenger,NL,tCO2,84087,13209,28674,4659,113340
89,company-89,Aviation,Passenger,KZ,tCO2,268013,96854,135416,94402,8406
90,company-90,Power,HydroCap,BN,tCO2e,130812,76658,115187,132298,48282
90,company-90,Power,HydroCap,KZ,tCO2e,NA,NA,70460,221382,NA
91,company-91,Power,NuclearCap,BO,tCO2e,42260,12714,60223,94470,116515
91,company-91,Power,NuclearCap,FR,tCO2e,NA,NA,315685,NA,NA
91,company-91,Power,NuclearCap,NL,tCO2e,NA,NA,71909,437130,NA
91,company-91,Power,NuclearCap,BN,tCO2e,NA,4803,135731,NA,NA
92,company-92,Power,CoalCap,FR,tCO2e,7566,55417,NA,31127,112550
92,company-92,Power,CoalCap,BO,tCO2e,101349,331562,253065,290715,16327
92,company-92,Power,CoalCap,KZ,tCO2e,64743,175767,NA,398254,NA
92,company-92,Power,CoalCap,NA,tCO2e,9649,NA,5398,198547,41026
93,company-93,Power,CoalCap,NL,tCO2e,34950,NA,4983,40668,229204
93,company-93,Power,CoalCap,KZ,tCO2e,16952,125851,NA,282685,NA
93,company-93,Power,CoalCap,BO,tCO2e,58906,74871,39299,229942,31583
94,company-94,Coal,Coal,BO,tCO2e,124651,31284,68758,60196,14478
94,company-94,Coal,Coal,KZ,tCO2e,NA,5749,9534,195912,89282
94,company-94,Coal,Coal,BN,tCO2e,187955,304699,8334,13531,177208
95,company-95,Power,NuclearCap,KZ,tCO2e,21668,479921,494426,14176,NA
96,company-96,Steel,Electric Arc Furnace,NL,tCO2e,242557,112120,84606,53169,15563
96,company-96,Steel,Electric Arc Furnace,KZ,tCO2e,273009,96549,NA,57650,117631
96,company-96,Steel,Electric Arc Furnace,NA,tCO2e,75731,54146,116629,177515,461637
96,company-96,Steel,Electric Arc Furnace,BO,tCO2e,NA,49556,86014,31544,14138
97,company-97,Power,RenewablesCap,NL,tCO2e,84074,92098,39097,15759,54276
97,company-97,Power,RenewablesCap,KZ,tCO2e,NA,41490,20222,165478,NA
97,company-97,Power,RenewablesCap,NA,tCO2e,NA,NA,NA,NA,NA
98,company-98,Power,GasCap,NL,tCO2e,733,51000,80037,187979,280378
98,company-98,Power,GasCap,BO,tCO2e,83863,125477,130146,NA,NA
98,company-98,Power,GasCap,NA,tCO2e,22639,NA,20656,35745,12736
99,company-99,Cement,Integrated facility,BO,tCO2e,22100,48738,NA,30867,14285
99,company-99,Cement,Integrated facility,NL,tCO2e,230767,NA,132878,38363,NA
100,company-100,Steel,Basic Oxygen Furnace,FR,tCO2e,107642,18254,NA,9064,36257
100,company-100,Steel,Basic Oxygen Furnace,BN,tCO2e,419401,199506,NA,NA,47583
100,company-100,Steel,Basic Oxygen Furnace,NA,tCO2e,NA,332058,NA,199155,32905
100,company-100,Steel,Basic Oxygen Furnace,KZ,tCO2e,NA,81774,211676,116592,NA
4,company-4,Power,OilCap,FR,tCO2e,80414,NA,121222,5655,NA
4,company-4,Power,OilCap,BO,tCO2e,96201,2281,239746,59821,29526
4,company-4,Power,OilCap,BN,tCO2e,132002,3204,21691,65250,102132
4,company-4,Power,OilCap,NA,tCO2e,NA,49593,96529,46422,34787
12,company-12,Power,GasCap,BN,tCO2e,1638,119549,365407,44759,55636
12,company-12,Power,GasCap,NA,tCO2e,56167,64423,2502,NA,281698
12,company-12,Power,GasCap,KZ,tCO2e,4155,112438,232841,218013,29689
12,company-12,Power,GasCap,NL,tCO2e,NA,38182,92860,23773,100537
12,company-12,Power,GasCap,FR,tCO2e,206565,112233,434879,317583,NA
15,company-15,Power,OilCap,FR,tCO2e,34593,8028,20551,16278,47116
15,company-15,Power,OilCap,KZ,tCO2e,41697,10186,253330,NA,255585
15,company-15,Power,OilCap,NA,tCO2e,826,40883,32775,118019,19131
15,company-15,Power,OilCap,NL,tCO2e,686,NA,65241,117584,22654
20,company-20,Power,OilCap,BO,tCO2e,28125,18838,NA,NA,127501
20,company-20,Power,OilCap,BN,tCO2e,96843,164693,143774,178401,113100
20,company-20,Power,OilCap,KZ,tCO2e,60145,44777,58136,27563,5439
32,company-32,Power,CoalCap,FR,tCO2e,NA,29777,29706,NA,NA
32,company-32,Power,CoalCap,BN,tCO2e,16784,44633,31714,NA,19805
33,company-33,Power,OilCap,NA,tCO2e,NA,37193,133867,NA,19439
33,company-33,Power,OilCap,FR,tCO2e,33595,9689,184334,20682,11225
34,company-34,Power,NuclearCap,FR,tCO2e,13997,NA,64466,55889,21394
34,company-34,Power,NuclearCap,BO,tCO2e,122330,30853,NA,159940,13926
37,company-37,Power,NuclearCap,NL,tCO2e,80327,183114,126237,140069,214718
37,company-37,Power,NuclearCap,BN,tCO2e,150729,67836,NA,21821,56819
37,company-37,Power,NuclearCap,FR,tCO2e,485121,144628,173947,NA,49926
37,company-37,Power,NuclearCap,BO,tCO2e,73002,33837,110484,28373,NA
38,company-38,Power,CoalCap,BN,tCO2e,86271,NA,275055,107092,305398
38,company-38,Power,CoalCap,NA,tCO2e,28150,103332,47039,856,215125
38,company-38,Power,CoalCap,NL,tCO2e,32334,NA,48814,66347,27439
38,company-38,Power,CoalCap,KZ,tCO2e,113234,217868,NA,NA,NA
39,company-39,Power,OilCap,BN,tCO2e,196510,11793,NA,41683,148993
39,company-39,Power,OilCap,FR,tCO2e,104138,220219,NA,7849,NA
39,company-39,Power,OilCap,NA,tCO2e,33942,103374,136578,88903,60489
39,company-39,Power,OilCap,NL,tCO2e,11318,213075,32946,6853,1124
39,company-39,Power,OilCap,BO,tCO2e,43145,NA,168246,30841,143437
55,company-55,Power,RenewablesCap,KZ,tCO2e,111926,76091,NA,269518,NA
55,company-55,Power,RenewablesCap,BN,tCO2e,76286,68391,283985,71408,NA
55,company-55,Power,RenewablesCap,NL,tCO2e,NA,379715,283287,120610,54642
55,company-55,Power,RenewablesCap,FR,tCO2e,102199,162765,93564,161101,NA
56,company-56,Power,RenewablesCap,NL,tCO2e,49685,NA,78622,28975,102428
56,company-56,Power,RenewablesCap,NA,tCO2e,71257,NA,13304,NA,299255
56,company-56,Power,RenewablesCap,FR,tCO2e,71718,107726,NA,362874,43184
56,company-56,Power,RenewablesCap,KZ,tCO2e,319955,NA,21469,33217,84621
