company_id,company_name,ald_sector,ald_business_unit,activity_unit,ald_location,Equity Ownership 2022,Equity Ownership 2023,Equity Ownership 2024,Equity Ownership 2025,Equity Ownership 2026
43,company-43,Power,GasCap,MWh,BN,NA,NA,8327001756,396309293,7530818584
44,company-44,Shipping,Freight,dwt km,KZ,NA,8827053828,NA,11658828993,7732938325
45,company-45,Steel,Open Hearth Furnace,t steel,BN,369259784,9130412976,17342240247,NA,NA
45,company-45,Steel,Open Hearth Furnace,t steel,KZ,2748893264,23832331419,7692551511,48094368365,10459372642
45,company-45,Steel,Open Hearth Furnace,t steel,NA,17862819257,10112010052,1923588521,9668218875,5875512424
45,company-45,Steel,Open Hearth Furnace,t steel,BO,590882713,2339982940,6654025572,16447233637,NA
45,company-45,Steel,Open Hearth Furnace,t steel,FR,242286027,5368708730,3717112721,NA,NA
46,company-46,Aviation,Freight,tkm,BO,NA,NA,NA,2988144350,7491118089
46,company-46,Aviation,Freight,tkm,KZ,NA,NA,NA,NA,NA
46,company-46,Aviation,Freight,tkm,BN,1064116590,7173967224,9765511209,10495922183,NA
46,company-46,Aviation,Freight,tkm,FR,2016350279,NA,5845333339,4153625493,238256990
47,company-47,Automotive,Electric,# vehicles,NL,NA,24619409661,NA,759839027,NA
47,company-47,Automotive,Electric,# vehicles,BN,33204381,30766614321,NA,3545766508,12435669409
48,company-48,Aviation,Freight,tkm,FR,5794718688,10933448530,13231639393,522152898,12934213249
48,company-48,Aviation,Freight,tkm,NL,NA,5981696698,24699105273,NA,NA
48,company-48,Aviation,Freight,tkm,BO,2545376241,NA,1891478806,9038136143,NA
48,company-48,Aviation,Freight,tkm,KZ,NA,4875493618,NA,NA,NA
48,company-48,Aviation,Freight,tkm,BN,2817041291,20664099914,NA,NA,540794169
49,company-49,Steel,Electric Arc Furnace,t steel,BN,NA,2622016244,10016138011,130957138,NA
49,company-49,Steel,Electric Arc Furnace,t steel,NL,7811487272,NA,NA,14221184367,2274356126
49,company-49,Steel,Electric Arc Furnace,t steel,NA,22136174840,10039674562,16691509216,2665827765,3323140732
50,company-50,Cement,Integrated facility,t cement,FR,2311992246,11837484141,6379814809,6073432389,6087651006
50,company-50,Cement,Integrated facility,t cement,NL,1403992146,7395545852,8967892403,20982215257,4040741879
50,company-50,Cement,Integrated facility,t cement,KZ,NA,NA,7616577803,19401177658,NA
51,company-51,Automotive,ICE,# vehicles,NL,2890766114,4979805024,13795578491,20392181326,7229474681
51,company-51,Automotive,ICE,# vehicles,BO,NA,3239258017,11347875897,NA,15348156028
51,company-51,Automotive,ICE,# vehicles,NA,4817511014,106569668,NA,10568557708,13123312922
51,company-51,Automotive,ICE,# vehicles,BN,NA,5368225633,NA,NA,15480473073
51,company-51,Automotive,ICE,# vehicles,FR,31589168611,NA,30178833,NA,NA
52,company-52,Oil&Gas,Gas,GJ,NA,4320398496,61746476205,NA,28098304672,NA
53,company-53,Power,CoalCap,MWh,BO,4249304882,4805560617,1066728443,3232271677,1292119060
53,company-53,Power,CoalCap,MWh,BN,NA,5956061441,NA,19827794896,16036852824
53,company-53,Power,CoalCap,MWh,NA,NA,NA,NA,NA,NA
53,company-53,Power,CoalCap,MWh,NL,243125411,1371451369,6663896231,22777503258,3017509615
53,company-53,Power,CoalCap,MWh,FR,NA,4281730559,1042460750,7992365961,NA
54,company-54,Steel,Open Hearth Furnace,t steel,FR,17293437353,19034723849,3495230621,12132202496,5566392969
54,company-54,Steel,Open Hearth Furnace,t steel,NA,5961420153,775839460,6380721014,7030057609,NA
54,company-54,Steel,Open Hearth Furnace,t steel,BN,8244680094,347238355,4632433886,NA,3062793190
54,company-54,Steel,Open Hearth Furnace,t steel,KZ,1510058807,NA,NA,58150627508,4595546979
54,company-54,Steel,Open Hearth Furnace,t steel,NL,NA,1239561630,37718050936,NA,29922717824
55,company-55,Power,RenewablesCap,MW,BO,NA,14215531149,22035465251,14048075117,NA
55,company-55,Power,RenewablesCap,MW,FR,NA,8590151227,2795458293,2537401247,11605136297
55,company-55,Power,RenewablesCap,MW,NL,NA,3432873866,29133915953,28404101367,5810824237
56,company-56,Power,RenewablesCap,MW,NL,NA,NA,9569108625,7748390137,21336839760
56,company-56,Power,RenewablesCap,MW,KZ,11996851295,6573606942,8666581066,627583509,5108370442
56,company-56,Power,RenewablesCap,MW,NA,NA,8077334503,NA,NA,NA
56,company-56,Power,RenewablesCap,MW,BO,NA,406650770,40130825847,15383679319,1362132790
57,company-57,Oil&Gas,Oil,GJ,BN,NA,NA,NA,NA,34226226866
58,company-58,Steel,Electric Arc Furnace,t steel,KZ,NA,8921631206,8810799238,NA,2415471298
58,company-58,Steel,Electric Arc Furnace,t steel,BO,NA,6373351416,6074353833,NA,595022234
58,company-58,Steel,Electric Arc Furnace,t steel,NA,5666853,NA,6528185419,14824365716,11841723405
58,company-58,Steel,Electric Arc Furnace,t steel,NL,3172263671,16782330637,NA,NA,NA
58,company-58,Steel,Electric Arc Furnace,t steel,FR,3377815498,8048433159,17472605216,1984344970,7092585903
59,company-59,Power,RenewablesCap,MWh,KZ,NA,13668636443,8799995098,NA,34484096456
59,company-59,Power,RenewablesCap,MWh,NA,66505594397,NA,NA,14449858149,NA
59,company-59,Power,RenewablesCap,MWh,NL,5748962554,NA,3374289354,NA,NA
59,company-59,Power,RenewablesCap,MWh,BN,21055252574,6311297248,9557008179,NA,40935988213
60,company-60,Oil&Gas,Gas,GJ,BN,9272868113,NA,8175918334,6476018942,11403593384
60,company-60,Oil&Gas,Gas,GJ,KZ,22069916737,NA,NA,7327958005,3327799423
60,company-60,Oil&Gas,Gas,GJ,NL,27454845328,18630832096,19144065145,2007592325,2002920353
60,company-60,Oil&Gas,Gas,GJ,BO,2119717884,NA,NA,9115501654,2490775584
61,company-61,Power,HydroCap,MW,BO,NA,901463633,26757334244,NA,15896777599
62,company-62,Automotive,Electric,# vehicles,NA,NA,1161262971,NA,NA,142915357
62,company-62,Automotive,Electric,# vehicles,BO,NA,NA,3574430897,34476529213,8288182687
62,company-62,Automotive,Electric,# vehicles,FR,16473482447,3668166511,1952218569,4856472347,1836124815
63,company-63,Oil&Gas,Gas,GJ,NA,NA,NA,NA,19669975587,1942193813
63,company-63,Oil&Gas,Gas,GJ,NL,405553814,494868964,8523422505,4500959090,NA
63,company-63,Oil&Gas,Gas,GJ,KZ,NA,15490773439,220966008,3719468638,58831111600
63,company-63,Oil&Gas,Gas,GJ,FR,23684990807,NA,NA,5055136406,10756479735
63,company-63,Oil&Gas,Gas,GJ,BO,6807663676,NA,6488194879,NA,29927057178
64,company-64,Steel,Electric Arc Furnace,t steel,KZ,NA,NA,3608986433,NA,5989242904
65,company-65,Aviation,Freight,tkm,BO,12021727113,378285045,NA,7002201364,NA
65,company-65,Aviation,Freight,tkm,NA,16692039653,1141274372,2325596366,NA,5252187024
65,company-65,Aviation,Freight,tkm,NL,NA,13358216563,1941693750,143610419,NA
66,company-66,Steel,Electric Arc Furnace,t steel,FR,7997937282,NA,NA,13075770028,3028916391
66,company-66,Steel,Electric Arc Furnace,t steel,NA,10806948789,18595284940,17408696962,19430525358,3198184565
66,company-66,Steel,Electric Arc Furnace,t steel,KZ,NA,NA,NA,NA,NA
66,company-66,Steel,Electric Arc Furnace,t steel,NL,8463821184,2638616644,2029936174,963797357,15512493722
67,company-67,Power,NuclearCap,MWh,BN,2142100811,NA,5762404256,NA,11772972017
67,company-67,Power,NuclearCap,MWh,KZ,NA,21042372753,3091051801,NA,5216405164
67,company-67,Power,NuclearCap,MWh,NL,NA,NA,2220280748,NA,3010634072
67,company-67,Power,NuclearCap,MWh,BO,NA,NA,10410327225,18586093380,32631808896
68,company-68,Power,GasCap,MWh,NA,13822856951,NA,26293428928,28958563834,10731323219
68,company-68,Power,GasCap,MWh,BN,NA,NA,30779138971,NA,6485209424
68,company-68,Power,GasCap,MWh,KZ,6875574492,NA,NA,NA,NA
69,company-69,Power,GasCap,MW,BN,NA,3785831313,3657908209,9982224690,63089944302
69,company-69,Power,GasCap,MW,FR,NA,11519378716,NA,4905336010,8512673592
69,company-69,Power,GasCap,MW,NA,9566434338,3808168986,1099774560,983990734,14108024872
70,company-70,Automotive,Hybrid,# vehicles,BN,NA,NA,NA,7273204660,NA
70,company-70,Automotive,Hybrid,# vehicles,KZ,5237780083,7496772751,4809253821,24994498934,48373187589
70,company-70,Automotive,Hybrid,# vehicles,FR,1021056086,928771740,1440114411,16049994181,4243346199
70,company-70,Automotive,Hybrid,# vehicles,BO,903630993,3691624227,10619372447,NA,60806573566
70,company-70,Automotive,Hybrid,# vehicles,NL,2249872379,1788534456,466492017,1496958410,21818816373
71,company-71,Oil&Gas,Oil,GJ,NL,5101192827,15645985378,NA,NA,8436152203
71,company-71,Oil&Gas,Oil,GJ,BN,NA,NA,NA,1791888173,NA
71,company-71,Oil&Gas,Oil,GJ,BO,14728789106,10817485001,20025571668,NA,4684754022
71,company-71,Oil&Gas,Oil,GJ,KZ,358724167,NA,16728130386,6408629963,3293158576
72,company-72,Shipping,Passenger,dwt km,NL,4738879381,NA,2393257181,NA,NA
72,company-72,Shipping,Passenger,dwt km,BN,9462809978,8556497022,11256253410,23220403788,NA
72,company-72,Shipping,Passenger,dwt km,KZ,543688866,5569401428,9664161851,7814093389,621514654
72,company-72,Shipping,Passenger,dwt km,FR,NA,1083412594,3070870843,5418703079,43155913820
73,company-73,Power,RenewablesCap,MWh,NL,NA,126221454,3024341670,NA,NA
73,company-73,Power,RenewablesCap,MWh,KZ,9491758357,2480100037,13455594963,2727256336,23248315901
73,company-73,Power,RenewablesCap,MWh,BO,24621036788,NA,15194222128,35597561168,NA
73,company-73,Power,RenewablesCap,MWh,BN,NA,NA,NA,NA,NA
73,company-73,Power,RenewablesCap,MWh,FR,8256689636,12461817025,3634924964,NA,686149975
74,company-74,Power,CoalCap,MWh,NL,8598933084,12240605935,1284313400,NA,NA
74,company-74,Power,CoalCap,MWh,BN,8686985379,906649212,12373032016,773650231,3499807912
75,company-75,Power,HydroCap,MW,FR,12310238860,24764227878,55714260766,NA,22233954440
75,company-75,Power,HydroCap,MW,KZ,21514514096,14730100357,NA,7024417244,4381027601
76,company-76,Power,NuclearCap,MW,NL,5246590315,2712667454,NA,16196793105,NA
76,company-76,Power,NuclearCap,MW,BO,10318811167,38095030322,NA,10148491988,27030406763
77,company-77,Coal,Coal,t coal,NL,279094210,NA,NA,3270456406,11777198639
77,company-77,Coal,Coal,t coal,NA,NA,NA,NA,NA,NA
78,company-78,Power,NuclearCap,MWh,NL,1769580816,3003423282,NA,2327779355,NA
78,company-78,Power,NuclearCap,MWh,BN,12043486734,4242974388,2621740145,10994917663,4544028690
78,company-78,Power,NuclearCap,MWh,NA,1579358011,27306256858,13945527797,4578403827,13965183775
78,company-78,Power,NuclearCap,MWh,FR,16904650310,2387119434,9448760313,27618131411,74066957353
78,company-78,Power,NuclearCap,MWh,BO,290961597,19889084510,16472503314,10267317646,NA
79,company-79,Power,GasCap,MWh,NL,4043354640,NA,14176500112,12407623786,8247785725
80,company-80,Cement,Integrated facility,t cement,NL,21382579473,4490836679,9567546651,NA,5950060922
80,company-80,Cement,Integrated facility,t cement,BN,NA,NA,7148504870,680379941,14596111301
81,company-81,Cement,Integrated facility,t cement,BO,NA,5258345174,4119882403,21710153289,NA
81,company-81,Cement,Integrated facility,t cement,NA,9949820293,NA,42694225075,3068796659,NA
82,company-82,Steel,Electric Arc Furnace,t steel,KZ,18474276516,NA,NA,9629104816,24344883540
82,company-82,Steel,Electric Arc Furnace,t steel,NA,NA,5236768064,13529552713,18458135943,2671383344
82,company-82,Steel,Electric Arc Furnace,t steel,FR,25192102859,2604692887,34510141984,16191916013,2867727005
82,company-82,Steel,Electric Arc Furnace,t steel,BO,2244594803,1477533521,NA,3010481840,3464817461
83,company-83,Automotive,Electric,# vehicles,KZ,NA,NA,3335696841,4888132086,8296859927
83,company-83,Automotive,Electric,# vehicles,FR,7905337944,18939087864,NA,NA,10359740054
83,company-83,Automotive,Electric,# vehicles,BO,9379270471,NA,NA,NA,NA
83,company-83,Automotive,Electric,# vehicles,BN,42105262789,82356628,21232593015,3557284837,173337062
84,company-84,Power,OilCap,MW,NL,9271006137,1906737987,NA,NA,1543973389
84,company-84,Power,OilCap,MW,KZ,9657556557,NA,NA,4912390650,NA
84,company-84,Power,OilCap,MW,FR,1784413136,16339647662,3690582301,9382003438,2045404594
85,company-85,Automotive,FuelCell,# vehicles,KZ,1030677907,3622282463,NA,20047024598,NA
85,company-85,Automotive,FuelCell,# vehicles,NA,3354673387,8557216175,5076628438,13206175195,8946545683
86,company-86,Power,GasCap,MWh,BO,NA,7489111934,8980136102,8619524821,22856372375
86,company-86,Power,GasCap,MWh,NL,NA,1982145231,NA,6086335062,NA
86,company-86,Power,GasCap,MWh,BN,NA,NA,2250181714,6213669556,10417388067
86,company-86,Power,GasCap,MWh,NA,NA,9555875606,1186390770,1279348827,NA
86,company-86,Power,GasCap,MWh,FR,NA,12834313296,7352315734,NA,NA
87,company-87,Aviation,Freight,tkm,BO,8182604025,18287753432,NA,13296731062,3335138122
88,company-88,Automotive,Hybrid,# vehicles,NL,NA,NA,NA,456320594,843527531
88,company-88,Automotive,Hybrid,# vehicles,KZ,NA,6286562833,NA,13923559534,NA
89,company-89,Aviation,Passenger,pkm,NA,2038793097,4839823426,925949583,1726642709,7208334056
89,company-89,Aviation,Passenger,pkm,NL,6315399599,1953087083,NA,NA,3080845792
89,company-89,Aviation,Passenger,pkm,KZ,13802700332,NA,3343408308,NA,3295010863
90,company-90,Power,HydroCap,MW,BN,11599426057,NA,NA,NA,8166911910
90,company-90,Power,HydroCap,MW,KZ,8879325387,NA,NA,2928649844,4738320713
91,company-91,Power,NuclearCap,MW,BO,NA,2300475751,NA,NA,NA
91,company-91,Power,NuclearCap,MW,FR,10880076687,NA,NA,1702165629,47307693805
91,company-91,Power,NuclearCap,MW,NL,8970814300,5553357433,NA,23144247315,NA
91,company-91,Power,NuclearCap,MW,BN,5850530198,471668293,NA,NA,NA
92,company-92,Power,CoalCap,MW,FR,10734396873,6359188048,12283575304,8424005425,19405684475
92,company-92,Power,CoalCap,MW,BO,NA,5153997727,NA,8875849694,11908519525
92,company-92,Power,CoalCap,MW,KZ,NA,19237156219,NA,1299472680,NA
92,company-92,Power,CoalCap,MW,NA,8029557818,6100006991,3360249857,NA,5738474900
93,company-93,Power,CoalCap,MWh,NL,22631024168,1013004152,24550806620,NA,8614437338
93,company-93,Power,CoalCap,MWh,KZ,2015638482,13459915962,NA,6550580182,NA
93,company-93,Power,CoalCap,MWh,BO,NA,7164672535,12806090549,14035103355,NA
94,company-94,Coal,Coal,t coal,BO,NA,13479108776,3428614667,NA,3252671435
94,company-94,Coal,Coal,t coal,KZ,3437354396,3056811007,27566809462,2891565303,NA
94,company-94,Coal,Coal,t coal,BN,1300419526,40767802296,5231651399,NA,826367422
95,company-95,Power,NuclearCap,MWh,KZ,NA,7778959143,568066179,17887160722,6381862987
96,company-96,Steel,Electric Arc Furnace,t steel,NL,1385943828,NA,NA,1503929371,24499593335
96,company-96,Steel,Electric Arc Furnace,t steel,KZ,158102424,4088687518,905236238,10442676064,224838727
96,company-96,Steel,Electric Arc Furnace,t steel,NA,19742886172,6865496697,447189424,26997999417,144216469
96,company-96,Steel,Electric Arc Furnace,t steel,BO,26170985125,5793812839,16075432340,2871738186,14143161394
97,company-97,Power,RenewablesCap,MW,NL,3150050740,NA,4120877938,11656610886,3684792749
97,company-97,Power,RenewablesCap,MW,KZ,17197005122,4301806206,10599348413,NA,8007084113
97,company-97,Power,RenewablesCap,MW,NA,6802946137,9934045583,520939940,4806000869,1285312488
98,company-98,Power,GasCap,MW,NL,1191725223,6143303076,10323161610,23365354041,4524962752
98,company-98,Power,GasCap,MW,BO,NA,NA,8535379843,736627638,NA
98,company-98,Power,GasCap,MW,NA,NA,3588372165,15007294117,233134380,22143227533
99,company-99,Cement,Integrated facility,t cement,BO,73741623312,1857472890,NA,NA,9117123743
99,company-99,Cement,Integrated facility,t cement,NL,561351710,NA,3838753371,NA,10605448312
100,company-100,Steel,Basic Oxygen Furnace,t steel,FR,801815273,579716610,3519217884,28200052332,1984598856
100,company-100,Steel,Basic Oxygen Furnace,t steel,BN,13285049574,29024433,27493401053,10237211523,NA
100,company-100,Steel,Basic Oxygen Furnace,t steel,NA,15000766756,NA,NA,1350417271,4025314726
100,company-100,Steel,Basic Oxygen Furnace,t steel,KZ,1865497233,2591075723,2913442852,9405828563,3400739023
4,company-4,Power,OilCap,MWh,FR,NA,NA,10275892539,NA,22037609573
4,company-4,Power,OilCap,MWh,BO,25587392316,24449877571,438763052,NA,8301331372
4,company-4,Power,OilCap,MWh,BN,3522619259,NA,10136410455,18510405144,NA
4,company-4,Power,OilCap,MWh,NA,NA,3560986732,5672907066,5483328752,2012143481
